Technology,Input,Process,Output,Implementation Notes,Paper Excerpt,GitHub Repos (Stars)
Sentiment Analysis,Text documents/reviews/tweets,"Text preprocessing, feature extraction, classification using ML models (Naive Bayes, SVM, Neural Networks)","Sentiment scores (-5 to +5), polarity labels (positive/negative/neutral)","Use libraries like NLTK, TextBlob, or scikit-learn. Stanford Sentiment Treebank dataset available. Can implement using CNN, RNN, or BERT models","Sentiment analysis works by extracting sentiments about a given topic, and it consists of a topic specific feature term extraction, sentiment extraction, and association by relationship analysis. It analyzes the documents for positive and negative words and tries to give ratings on scale −5 to +5.","1. cjhutto/vaderSentiment (4.2k stars) 2. sloria/TextBlob (9.1k stars) 3. KennethEnevoldsen/asent (370 stars)"
Named Entity Recognition (NER),Text documents,"Tokenization, POS tagging, entity identification and classification","Identified entities grouped by classes (Person, Location, Organization, etc.)","Use spaCy, NLTK, or Hugging Face transformers. Can implement with CRF, BiLSTM-CRF, or BERT-based models","Named entity recognition (NER) is a technique to recognize and separate the named entities and group them under predefined classes. There are particular words in the document that refer to specific entities or real-world objects like location, people, organizations etc.","1. explosion/spaCy (29.9k stars) 2. huggingface/transformers (135k stars) 3. AdirthaBorgohain/NER-RE (40 stars)"
Part-of-Speech (POS) Tagging,Sentences/text,"Tokenization, syntactic analysis, grammatical role assignment","Words tagged with grammatical categories (noun, verb, adjective, etc.)","Use NLTK, spaCy, or Stanford NLP. Can implement with HMM, CRF, or neural approaches. Treebank datasets available","Part of speech tagging describes a sentence, determines the part of speech for each word. Various authors have done research on making parts of speech taggers for various languages such as Arabic, Sanskrit, Hindi to efficiently tag and classify words as nouns, adjectives, verbs etc.","1. nltk/nltk (13.4k stars) 2. explosion/spaCy (29.9k stars) 3. stanfordnlp/stanza (7.2k stars)"
Machine Translation,Text in source language,"Sequence-to-sequence modeling, attention mechanisms, transformer architecture","Translated text in target language","Use OpenNMT, Fairseq, or Hugging Face. Implement with encoder-decoder, attention, or transformer models. WMT datasets available","Machine Translation is generally translating phrases from one language to another with the help of a statistical engine like Google Translate. The challenge with machine translation technologies is not directly translating words but keeping the meaning of sentences intact along with grammar and tenses.","1. OpenNMT/OpenNMT-py (6.7k stars) 2. facebookresearch/fairseq (30.3k stars) 3. huggingface/transformers (135k stars)"
Text Summarization,Long documents/articles,"Content selection, importance scoring, sentence ranking or generation","Shortened summary preserving key information","Implement extractive (TF-IDF, TextRank) or abstractive (sequence-to-sequence, BERT) approaches using NLTK, Gensim, or transformers","Automatic summarization produces an understandable summary of a set of text and provides summaries or detailed information of text of a known type. This ability to summarize the data while keeping the meaning intact is highly required to understand the important information for a large set of data.","1. microsoft/DialoGPT (1.8k stars) 2. huggingface/transformers (135k stars) 3. PreSumm/PreSumm (1.3k stars)"
Question Answering,Questions + context documents,"Reading comprehension, answer extraction or generation","Relevant answers to input questions","Use SQuAD dataset, implement with BERT, RoBERTa, or T5 models. Libraries: Hugging Face transformers, AllenNLP","Question answering systems provide real-time responses which are widely used in customer care services. Stanford Question Answering Dataset (SQuAD): it is a reading comprehension dataset made up of questions posed by crowd workers on a collection of Wikipedia articles.","1. huggingface/transformers (135k stars) 2. allenai/allennlp (11.7k stars) 3. deepset-ai/haystack (16.8k stars)"
Text Classification,Documents/emails/articles,"Feature extraction, document representation, classification","Category labels or spam/not-spam classifications","Use scikit-learn, TensorFlow, or PyTorch. Implement with TF-IDF + classifiers, CNN, RNN, or BERT fine-tuning","Categorization systems input a large flow of data like official documents, military casualty reports, market data, newswires etc. and assign them to predefined categories or indices. Some companies have been using categorization systems to categorize trouble tickets or complaint requests.","1. scikit-learn/scikit-learn (59.7k stars) 2. huggingface/transformers (135k stars) 3. tensorflow/tensorflow (185k stars)"
Word Embedding,Text corpus,"Neural language modeling, distributed representation learning","Dense vector representations of words","Implement Word2Vec, GloVe, or FastText using Gensim, or contextual embeddings with BERT/RoBERTa","Mikolov et.al. proposed a word embedding process where the dense vector representation of text was addressed. Major use of neural networks in NLP is observed for word embedding where words are represented in the form of vectors.","1. RaRe-Technologies/gensim (15.6k stars) 2. stanfordnlp/GloVe (6.9k stars) 3. facebookresearch/fastText (25.9k stars)"
Chunking/Phrase Extraction,Sentences,"Syntactic parsing, phrase boundary identification","Noun phrases, verb phrases with syntactic labels","Use NLTK, spaCy, or implement with CRF, BiLSTM-CRF models. CoNLL-2000 shared task data available","Chunking is a process of separating phrases from unstructured text. Since simple tokens may not represent the actual meaning of the text, it is advisable to use phrases. Chunking known as 'Shadow Parsing' labels parts of sentences with syntactic correlated keywords like Noun Phrase (NP) and Verb Phrase (VP).","1. nltk/nltk (13.4k stars) 2. explosion/spaCy (29.9k stars) 3. flairNLP/flair (13.9k stars)"
Speech Recognition,Audio files/speech signals,"Signal processing, acoustic modeling, language modeling","Transcribed text from speech","Use libraries like SpeechRecognition, Wav2Vec2, or Whisper. Implement with CTC, attention-based models","Hidden Markov Models are extensively used for speech recognition, where the output sequence is matched to the sequence of individual phonemes. The (D)ARPA speech recognition and message understanding conferences were major features in speech processing development.","1. openai/whisper (69.2k stars) 2. mozilla/DeepSpeech (25.2k stars) 3. Uberi/speech_recognition (8.4k stars)"
Optical Character Recognition (OCR),Images containing text,"Image preprocessing, character recognition, text extraction","Digitized text from images","Use Tesseract, EasyOCR, or PaddleOCR. Can enhance with deep learning approaches for better accuracy","Optical Character Recognition (OCR) is used for automatic text recognition by translating printed and handwritten text into machine-readable format. Some of these tasks have direct real-world applications such as Optical character recognition.","1. tesseract-ocr/tesseract (61.5k stars) 2. JaidedAI/EasyOCR (24.3k stars) 3. PaddlePaddle/PaddleOCR (43.4k stars)"
Information Extraction,Unstructured text documents,"Entity recognition, relation extraction, pattern matching","Structured data, knowledge graphs, extracted facts","Combine NER, relation extraction, and coreference resolution. Use spaCy, Stanford OpenIE, or custom neural models","Information extraction is concerned with identifying phrases of interest of textual data. For many applications, extracting entities such as names, places, events, dates, times, and prices is a powerful way of summarizing the information relevant to a user's needs.","1. explosion/spaCy (29.9k stars) 2. stanfordnlp/CoreNLP (9.7k stars) 3. THUNLP/OpenNRE (4.3k stars)"
Coreference Resolution,Multi-sentence texts,"Anaphora resolution, entity linking across sentences","Text with resolved references and entity chains","Use AllenNLP, spaCy, or neuralcoref. Implement with mention detection and clustering algorithms","Co-reference resolution refers to a sentence or larger set of text that determines all words which refer to the same object. Coreference resolution is achieved by finding all expressions that refer to the same entity in a text.","1. allenai/allennlp (11.7k stars) 2. huggingface/neuralcoref (2.8k stars) 3. explosion/spaCy (29.9k stars)"
Semantic Role Labeling (SRL),Sentences with verbs,"Syntactic parsing, argument identification, role classification","Semantic roles assigned to sentence constituents","Use AllenNLP, implement with BiLSTM, BERT-based models. PropBank/FrameNet datasets available","Semantic Role Labeling (SRL) works by giving a semantic role to a sentence. For example, in the Prop Bank formalism, one assigns roles to words that are arguments of a verb in the sentence. State-of-the-art SRL systems comprise several stages: creating a parse tree, identifying which parse tree nodes represent the arguments of a given verb.","1. allenai/allennlp (11.7k stars) 2. hit-scir/ltp (4.3k stars) 3. strubell/LISA (147 stars)"
Language Modeling,Text corpus,"N-gram statistics or neural sequence modeling","Probability distributions over word sequences","Implement with LSTM, Transformer, or GPT-style models using PyTorch/TensorFlow. Penn Treebank, WikiText datasets","In early 2000, neural language modeling in which the probability of occurring of next word (token) is determined given n previous words. Language models analyse text data to calculate word probability. They use an algorithm to interpret the data, which establishes rules for context in natural language.","1. huggingface/transformers (135k stars) 2. pytorch/pytorch (82.9k stars) 3. microsoft/DialoGPT (1.8k stars)"
Text Generation,Prompt/seed text,"Language modeling, sequence generation with sampling strategies","Coherent generated text continuations","Use GPT, T5, or BART models. Implement with autoregressive decoding, beam search, or nucleus sampling","Natural Language Generation (NLG) is the process of producing phrases, sentences and paragraphs that are meaningful from an internal representation. It is a part of Natural Language Processing and happens in four phases: identifying the goals, planning on how goals may be achieved by evaluating the situation and available communicative sources and realizing the plans as a text.","1. huggingface/transformers (135k stars) 2. openai/gpt-2 (22.4k stars) 3. minimaxir/textgenrnn (4.9k stars)"
Emotion Detection,Text expressing emotions,"Sentiment analysis extension, emotion classification","Emotion categories (joy, anger, fear, sadness, etc.)","Extend sentiment analysis approaches, use emotion lexicons, implement with CNN, LSTM, or BERT fine-tuning","Emotion detection investigates and identifies the types of emotion from speech, facial expressions, gestures, and text. They have categorized sentences into 6 groups based on emotions and used TLBO technique to help the users in prioritizing their messages based on the emotions attached with the message.","1. text2emotion/emotion (142 stars) 2. monologg/GoEmotions-pytorch (456 stars) 3. cardiffnlp/tweeteval (291 stars)"
Spam Filtering,Email messages,"Text preprocessing, feature extraction, binary classification","Spam/not-spam classifications","Use Naive Bayes, SVM, or neural networks with TF-IDF features. Enron email dataset available for training","Spam filters are becoming important as the first line of defence against the unwanted emails. A filtering solution that is applied to an email system uses a set of protocols to determine which of the incoming messages are spam; and which are not. Various machine learning techniques have been applied to text categorization or Anti-Spam Filtering like Rule Learning, Naïve Bayes, Memory based Learning, Support vector machines.","1. scikit-learn/scikit-learn (59.7k stars) 2. SpamAssassin/spamassassin (319 stars) 3. rspamd/rspamd (2.0k stars)"
Dialogue Systems,User queries/conversational input,"Intent recognition, entity extraction, response generation","Contextual responses, task completion","Combine NLU (intent/entity recognition) with NLG. Use Rasa, NLTK, or build with transformers for end-to-end systems","Dialogue systems are very prominent in real world applications ranging from providing support to performing a particular action. These dialogue systems utilize phonemic and lexical levels of language. This leads to producing systems that can enable robots to interact with humans in natural languages such as Google's assistant, Windows Cortana, Apple's Siri and Amazon's Alexa etc.","1. RasaHQ/rasa (18.7k stars) 2. microsoft/DialoGPT (1.8k stars) 3. gunthercox/ChatterBot (14.0k stars)"
Document Similarity,Multiple documents,"Text representation, similarity computation (cosine, etc.)","Similarity scores between document pairs","Use TF-IDF, Word2Vec, Doc2Vec, or BERT embeddings with cosine similarity. Implement with Gensim or scikit-learn","In Information Retrieval two types of models have been used. Both modules assume that a fixed vocabulary is present. The model captures information on how many times a word is used in a document and can be used for computing document similarity and relevance.","1. scikit-learn/scikit-learn (59.7k stars) 2. RaRe-Technologies/gensim (15.6k stars) 3. qdrant/qdrant (20.5k stars)"